current_time,weather,temp,humi
2025-07-15 04:14:24,온흐림,26.02,75
2025-07-15 04:28:37,온흐림,26.02,75
2025-07-15 04:31:11,온흐림,23.97,73
2025-07-15 04:58:59,온흐림,23.97,73
2025-07-15 05:32:32,온흐림,23.97,73
2025-07-15 05:52:01,온흐림,25.41,67
2025-07-15 06:19:40,온흐림,25.41,67
2025-07-15 06:50:48,온흐림,24.74,72
2025-07-15 07:13:24,온흐림,24.74,72
2025-07-15 07:37:01,온흐림,24.79,67
2025-07-15 07:50:32,온흐림,24.79,67
2025-07-15 08:13:28,온흐림,24.79,67
2025-07-15 08:45:31,튼구름,25.34,62
2025-07-15 09:15:59,구름조금,26.76,74
